method,trial,coverage,mean_width,q_hat,ssc_worst,crossing_rate,sigma_clip_rate
norm,95,0.9069,2.1634363146682265,2.192069175555595,0.8912,,5e-05
cqr,95,0.90763,2.070052827938834,0.08026838994703844,0.8876834237432193,0.0,
abs,96,0.89358,2.2438723296033793,1.12193616480169,,,
norm,96,0.90603,2.1570755527024734,2.185624229548339,0.890125,,5e-05
cqr,96,0.90336,2.046613811329318,0.06854888164228079,0.885233607479439,0.0,
abs,97,0.92519,2.5760347495049842,1.288017374752492,,,
norm,97,0.91357,2.21409353600208,2.243396840092032,0.898,,5e-05
cqr,97,0.92806,2.2071028097463907,0.14879338085081684,0.9020323475739319,0.0,
abs,98,0.89593,2.2642208498596754,1.1321104249298373,,,
norm,98,0.897485,2.099324026103729,2.1271083673341087,0.881425,,5e-05
cqr,98,0.880695,1.9385809287639146,0.014532440359578791,0.8703152736455234,0.0,
abs,99,0.90251,2.3239097543698346,1.1619548771849169,,,
norm,99,0.886015,2.0268512017301608,2.0536763724574225,0.8698,,5e-05
cqr,99,0.903655,2.0484291562395516,0.06945655409739704,0.8854585906057045,0.0,
abs,100,0.893475,2.24299613070743,1.1214980653537148,,,
norm,100,0.896365,2.091903745922198,2.1195898804946136,0.880325,,5e-05
cqr,100,0.91753,2.13093798221119,0.11071096708321693,0.8942079344049196,0.0,
abs,101,0.89636,2.2679502874702777,1.1339751437351389,,,
norm,101,0.91,2.186429174193604,2.215366343252065,0.894225,,5e-05
cqr,101,0.89738,2.015546346388891,0.053015149172066955,0.8816338774591905,0.0,
abs,102,0.89307,2.2396771024280113,1.1198385512140059,,,
norm,102,0.90295,2.1362329524201606,2.1645057795586093,0.886925,,5e-05
cqr,102,0.895195,2.0045013464385764,0.04749264919690965,0.880633952453566,0.0,
abs,103,0.901575,2.3159895065246943,1.157994753262347,,,
norm,103,0.907625,2.1689417010447327,2.1976474251641642,0.891925,,5e-05
cqr,103,0.896055,2.0087563440214264,0.04962014798833497,0.8810339224558158,0.0,
abs,104,0.90556,2.352602211010163,1.1763011055050812,,,
norm,104,0.899685,2.1145312996317807,2.1425169075897514,0.88395,,5e-05
cqr,104,0.90123,2.0346305985080972,0.0625572752316701,0.8840586955978301,0.0,
abs,105,0.902615,2.3249123714894964,1.1624561857447473,,,
norm,105,0.907195,2.165970378782811,2.1946367777525255,0.8916,,5e-05
cqr,105,0.900315,2.0298544530215024,0.06016920248837271,0.8835837312201585,0.0,
abs,106,0.91631,2.466516025049428,1.233258012524713,,,
norm,106,0.906215,2.1585390864743563,2.1871071330417196,0.8902,,5e-05
cqr,106,0.907935,2.0717484226816496,0.08111618731844628,0.8879834012449066,0.0,
abs,107,0.913845,2.4399297117992096,1.2199648558996052,,,
norm,107,0.90361,2.1408459248712486,2.169179804233687,0.887675,,5e-05
cqr,107,0.902225,2.039803876843895,0.06514391439956914,0.8845336599755018,0.0,
abs,108,0.90042,2.3058446435210556,1.1529223217605278,,,
norm,108,0.901355,2.1259874086990367,2.154124637102226,0.88575,,5e-05
cqr,108,0.90649,2.063687871035576,0.07708591149540955,0.8869334799890009,0.0,
abs,109,0.898585,2.2878913905062577,1.1439456952531284,,,
norm,109,0.91807,2.250506676939888,2.2802919052685504,0.903025,,5e-05
cqr,109,0.909865,2.0834283291458777,0.08695614055056033,0.8892083093767967,0.0,
abs,110,0.914815,2.449843777409242,1.2249218887046203,,,
norm,110,0.907825,2.1700727051669344,2.1987933980115715,0.8922,,5e-05
cqr,110,0.90854,2.075737970830914,0.0831109613930785,0.888283378746594,0.0,
abs,111,0.913275,2.4343431524733457,1.2171715762366722,,,
norm,111,0.899045,2.1093697520932118,2.137287047491376,0.88325,,5e-05
cqr,111,0.9122,2.0969857989424012,0.09373487544882209,0.8905332100092493,0.0,
abs,112,0.89172,2.2275005566840753,1.1137502783420372,,,
norm,112,0.900235,2.1185616698457217,2.1466006193459775,0.8847,,5e-05
cqr,112,0.901975,2.0385964637549217,0.06454020785508219,0.8844086693497988,0.0,
abs,113,0.90241,2.3228565636161225,1.1614282818080615,,,
norm,113,0.89914,2.1099249619524008,2.137849605496915,0.883325,,5e-05
cqr,113,0.89884,2.02277247776879,0.05662821486201641,0.8827587930905182,0.0,
abs,114,0.910375,2.403850920870674,1.201925460435337,,,
norm,114,0.906275,2.159012742354848,2.1875870577098997,0.890225,,5e-05
cqr,114,0.90063,2.0313046412601667,0.06089429660770507,0.8838587105967053,0.0,
abs,115,0.909995,2.3994473113445167,1.1997236556722592,,,
norm,115,0.90577,2.1549214849584652,2.1834416529355285,0.88985,,5e-05
cqr,115,0.9092,2.079524200853347,0.08500407640429486,0.8886583506237032,0.0,
abs,116,0.900405,2.305653894650575,1.1528269473252872,,,
norm,116,0.89815,2.1034198163430458,2.131258364943132,0.882075,,5e-05
cqr,116,0.906795,2.065383907826163,0.07793392989070291,0.8871834612404069,0.0,
abs,117,0.88264,2.14827107953176,1.0741355397658796,,,
norm,117,0.884365,2.017221814117576,2.0439195408733783,0.867925,,5e-05
